Category	Item	Resources/References	Definition	Implementation Notes	Current Status / File Location
Initial Input	prompt.md Template	Reference	Initial questionnaire for requirements	Structure questions to build IEEE 830 sections	[CONFIG] .blueprint/dynamic_specs.yaml (Mapped to REQ nodes)
Initial Input	Project Canvas Questions	Reference	Problem/User/Value proposition definition	Becomes root nodes of requirements graph	[FILE] production_main.py (Root REQ injection)
Initial Input	Domain Discovery Questions	Reference	Key entities and workflows	Extract nouns as entity nodes	[CONFIG] prompt_templates.yaml (Injected into ARCHITECT system prompt)
Initial Input	Technical Context Questions	Reference	Integration/Performance/Security context	Integration points become interface nodes	[CONFIG] prompt_templates.yaml
Initial Input	Success Criteria Questions	Reference	Metrics and MVP definition	Becomes test nodes	[CONFIG] prompt_templates.yaml
Core Architecture	Graph-Augmented Generation	Reference	Context via node traversal	nx.ego_graph(radius=2)	[FILE] infrastructure/graph_db.py (get_context_neighborhood)
Core Architecture	Code Property Graph (CPG)	Reference	AST + Flow graph structure	Tree-sitter/AST parsing	[FILE] core/cpg_builder.py
Core Architecture	Agent Topology Definition	Reference	Ratio of Workers to Verifiers	YAML config with agent_type	[CONFIG] .blueprint/topology_config.yaml
Core Architecture	Spec-Driven Development	Reference	Spec is root; code links back	nx.has_path to spec root	[CONFIG] .blueprint/global_ontology.md (Ontology Rule: TRACES_TO)
Core Architecture	Async Event-Driven Arch	Reference	Non-blocking message passing	asyncio.Queue	[FILE] production_main.py (Event Loop)
Core Architecture	Actor-Based Runtime	Reference	Independent agent actors	Ray/Python classes	[FILE] agents/base_agent.py (Class Structure)
Core Architecture	Cross-Language Comm	Reference	Protocol buffers / JSON-RPC	JSON Schema	[CONFIG] .blueprint/event_bus.schema
Execution Patterns	Wavefront Execution	Reference	Parallel subgraph execution	Topological sort by depth	[FILE] orchestration/wavefront.py
Execution Patterns	Sequential Orchestration	Reference	Linear task execution	Simple for loop	[FILE] production_main.py (Basic Loop)
Execution Patterns	Concurrent Orchestration	Reference	Simultaneous agents	asyncio.gather	[FILE] orchestration/wavefront.py (Wave Logic)
Execution Patterns	Hierarchical Orchestration	Reference	Supervisors managing subordinates	Tree structure	[CONFIG] .blueprint/topology_config.yaml (Ratios)
Execution Patterns	Group Chat Patterns	Reference	Multi-turn conversation	Round-robin	[MISSING] Future: Build agents/chat_manager.py
Execution Patterns	Phase Transition Gating	Reference	State machine rules	Enum phases; verification gates	[CONFIG] .blueprint/prime_directives.md (Directive #2)
Execution Patterns	Magentic Dynamic Orch	Reference	Adaptive workflow management	Reassign tasks based on metrics	[MISSING] Future: Advanced Orchestrator
Reqs Gathering	Reqs Completeness Tracker	Reference	IEEE 830 DAG coverage	Completeness percentage	[FILE] validate_phase.py (Basic Check)
Reqs Gathering	Info Source Classifier	Reference	User vs Search vs Derivation	Decision tree	[FILE] requirements/socratic_engine.py (analyze_gap logic)
Reqs Gathering	Question Yield Calculator	Reference	Prioritize high-value questions	Information gain formula	[MISSING] Future: Add to Socratic Engine
Reqs Gathering	IEEE 830 Template Enforcer	Reference	Mandatory sections	JSON schema validation	[CONFIG] .blueprint/dynamic_specs.yaml
Reqs Gathering	EARS Pattern Matcher	Reference	Formalize informal input	Regex patterns	[CONFIG] prompt_templates.yaml (Prompt Instruction)
Reqs Gathering	MoSCoW Prioritizer	Reference	Auto-assign priorities	Dependency analysis	[CONFIG] prompt_templates.yaml (Architect Prompt)
Reqs Gathering	Ambiguity Detector	Reference	Find vague terms	NLP/NER	[FILE] requirements/socratic_engine.py (ambiguity_score)
Reqs Gathering	Search Query Generator	Reference	Convert gaps to queries	Template filling	[FILE] requirements/socratic_engine.py (Search Flag)
Reqs Gathering	Documentation Parser	Reference	Extract answers from docs	BeautifulSoup/CSS	[MISSING] Future: Build infrastructure/doc_scraper.py
Reqs Gathering	Saturation Monitor	Reference	Stop condition for questions	Diminishing returns check	[MISSING] Future: Add to Socratic Engine
User Interaction	Socratic Question Engine	Reference	Generates clarifying questions	Template questions	[FILE] requirements/socratic_engine.py
User Interaction	Question Prioritization	Reference	Rank questions by gain	Entropy/Criticality	[FILE] requirements/socratic_engine.py (Metadata)
User Interaction	Question Batching	Reference	Group related questions	Semantic clustering	[MISSING] Future: Build interfaces/cli.py
User Interaction	Context-Aware Memory	Reference	Remember previous answers	Vector store	[FILE] infrastructure/graph_db.py (Graph persistence)
User Interaction	User Fatigue Manager	Reference	Limit questions per session	Complexity scoring	[MISSING] Future: Build interfaces/cli.py
Knowledge Res	Doc Search Engine	Reference	Automated tech search	API wrapper	[MISSING] Future: Add Tavily/Perplexity Tool
Knowledge Res	API Format Validator	Reference	Validate calls against specs	OpenAPI spec loader	[CONFIG] prompt_templates.yaml (Verifier Criteria)
Knowledge Res	Lib Doc Parser	Reference	Structured info extraction	RST/MD parsing	[MISSING] Future: Build infrastructure/doc_scraper.py
Knowledge Res	Web Context Extractor	Reference	Pull context from URLs	Text extraction	[MISSING] Future: Build infrastructure/web_crawler.py
Verification	Cryptographic Edge Signing	Reference	Sign approved edges	Ed25519 keys	[FILE] agents/base_agent.py (sign_content)
Verification	Topology Verification	Reference	Ensure verified edges exist	Count edges per node	[FILE] infrastructure/graph_db.py (get_materializable_nodes)
Verification	Byzantine Tolerance	Reference	Consensus mechanisms	Majority vote	[CONFIG] .blueprint/prime_directives.md (Directive #6)
Verification	Sandboxed Execution	Reference	Isolated containers	Docker containers	[MISSING] Future: Build infrastructure/docker_env.py
Verification	Adversarial Injection	Reference	Poison nodes testing	Inject bad code	[FILE] simulation/mock_agents.py (Scenario 002)
Verification	Red-Team Exercises	Reference	Security testing	Adversarial agents	[FILE] .blueprint/simulation_manifest.yaml
Verification	Clean Room Assembly	Reference	Isolated integration	Fresh environment	[MISSING] Future: Build infrastructure/builder_worker.py
State & Memory	State Checkpoint/Resume	Reference	Serialize swarm state	Pickle/Dill dump	[FILE] infrastructure/graph_db.py (Persistence Path)
State & Memory	Graph Database Backend	Reference	Neo4j/Kuzu storage	Cypher/NetworkX	[FILE] infrastructure/graph_db.py
State & Memory	Distributed Sync	Reference	Consensus protocols	CRDTs/Vector clocks	[MISSING] Future: Redis Integration
State & Memory	Context Eviction	Reference	Prune graph context	LRU eviction	[FILE] infrastructure/graph_db.py (get_context_neighborhood filters)
State & Memory	Short/Long Memory	Reference	Conversation vs Persistent	Redis vs Postgres	[FILE] infrastructure/graph_db.py (Graph is Long Term)
State & Memory	Semantic/Episodic Memory	Reference	Facts vs History	Entity graph vs Event log	[FILE] core/ontology.py (Node vs Edge)
Agent Roles	The Architect	Reference	Decompose specs	Graph Designer	[FILE] agents/concrete_agents.py (RealArchitect)
Agent Roles	The Builder	Reference	Write code	Leaf node worker	[FILE] agents/concrete_agents.py (RealBuilder)
Agent Roles	The Verifier	Reference	Review and sign	Edge Signer	[FILE] agents/concrete_agents.py (RealVerifier)
Agent Roles	The Cross-Validator	Reference	Spec/Code/Test consistency	Graph traversal	[CONFIG] .blueprint/topology_config.yaml (Role Definition)
Agent Roles	The Simulation Engineer	Reference	Mock nodes/data	Synthetic data	[FILE] simulation/mock_agents.py
Agent Roles	The Research Curator	Reference	Link to sources	Citation edges	[CONFIG] .blueprint/llm_router.yaml (CURATOR)
Agent Roles	The Metacognition Agent	Reference	Analyze anomalies	Graph analysis	[CONFIG] .blueprint/llm_router.yaml (Assigned Model)
Agent Roles	The Graph Curator	Reference	DB Integrity	Ontology enforcement	[CONFIG] .blueprint/llm_router.yaml (CURATOR)
Agent Roles	The QA Engineer	Reference	Write tests	Test node generation	[CONFIG] prompt_templates.yaml (Builder can adopt QA role)
Agent Roles	The Integration Agent	Reference	Assemble modules	Interface resolution	[MISSING] Future: Build agents/integration.py
Agent Roles	The Socratic Interrogator	Reference	Ask questions	Ambiguity detection	[FILE] requirements/socratic_engine.py
Agent Roles	The Sentinel	Reference	Security/Taint analysis	Data flow tracing	[CONFIG] .blueprint/llm_router.yaml (SENTINEL)
Agent Roles	The Janitor	Reference	Remove orphans	Dead code detection	[MISSING] Future: Add GC to GraphDB
Agent Roles	The Treasurer	Reference	Monitor costs	Token tracking	[CONFIG] .blueprint/llm_router.yaml (TREASURER)
Agent Roles	The Librarian	Reference	Manage prompts	Version control	[CONFIG] .blueprint/llm_router.yaml (LIBRARIAN)
Agent Roles	The Requirement Analyst	Reference	Detect ambiguity	Scoring	[FILE] requirements/socratic_engine.py
Agent Roles	The Domain Expert Sim	Reference	Test completeness	Synthetic user	[MISSING] Future: Simulation Scenario
Agent Roles	The DevOps Agent	Reference	Setup env	Dockerfile generation	[MISSING] Future: Build agents/devops.py
Agent Roles	The Mock Builder	Reference	Create mocks	Test data	[FILE] simulation/mock_agents.py
Communication	Event Bus Schema	Reference	Message payloads	CloudEvents format	[CONFIG] .blueprint/event_bus.schema
Communication	Message Protocols	Reference	MQTT/Redis	Pub/Sub	[MISSING] Future: Redis Integration
Communication	Pub-Sub Mechanisms	Reference	Broadcasts	Topic-based	[MISSING] Future: Redis Integration
Communication	Request/Response	Reference	Synchronous queries	gRPC/Direct Call	[FILE] agents/base_agent.py (Method calls)
Communication	Structured Schema	Reference	Enforced formats	JSON Schema	[CONFIG] .blueprint/event_bus.schema
Resource Mgmt	Cost Ledger	Reference	Token tracking	SQLite/Log	[FILE] infrastructure/llm_gateway.py (self._cost_session)
Resource Mgmt	Spot Instance Arbitrage	Reference	Route by cost	Model selection	[CONFIG] .blueprint/llm_router.yaml (Model assignments)
Resource Mgmt	Request Throttling	Reference	Rate limits	Semaphore	[FILE] infrastructure/llm_gateway.py (@retry)
